name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,efficiency,p_nom_min,p_min_pu,p_max_pu,marginal_cost,p_nom_opt,country,lifetime,committable,p_nom_mod,marginal_cost_quadratic,stand_by_cost,shut_down_cost,ramp_limit_up,ramp_limit_start_up,ramp_limit_shut_down
73,eGon2035,4,71564,central_heat_pump,23.052704973988522,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,23.052704973988522,DE,inf,False,,,,,,1.0,1.0
74,eGon2035,4,71564,central_resistive_heater,24.069537931596706,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,24.069537931596706,DE,inf,False,,,,,,1.0,1.0
75,eGon2035,4,71565,central_resistive_heater,0.05957587276410222,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.05957587276410222,DE,inf,False,,,,,,1.0,1.0
76,eGon2035,4,41240,dsm,311.1792749805455,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,311.1792749805455,DE,inf,False,,,,,,1.0,1.0
77,eGon2035,4,49990,central_resistive_heater,0.008769369689558522,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.008769369689558522,DE,inf,False,,,,,,1.0,1.0
78,eGon2035,4,50382,central_heat_pump,0.08266921827640075,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.08266921827640075,DE,inf,False,,,,,,1.0,1.0
79,eGon2035,4,50382,central_resistive_heater,0.0194580432792574,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0194580432792574,DE,inf,False,,,,,,1.0,1.0
80,eGon2035,4,50397,central_heat_pump,0.3476735003248824,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3476735003248824,DE,inf,False,,,,,,1.0,1.0
81,eGon2035,4,50397,central_resistive_heater,0.05346366329087415,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.05346366329087415,DE,inf,False,,,,,,1.0,1.0
82,eGon2035,4,52040,rural_heat_pump,1867.012766411436,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1867.012766411436,DE,inf,False,,,,,,1.0,1.0
83,eGon2035,4,69914,BEV_charger,3476.908518522978,False,inf,0.0,0.0,0.8999999999999999,0.0,0.0,1.0,0.0,3476.908518522978,DE,inf,False,,,,,,1.0,1.0
84,eGon2035,4,71384,power_to_H2,0.0,True,inf,1372.6909325666215,0.0,0.7,0.0,0.0,1.0,0.0,419.49778795527374,DE,31.0,False,,,,,,1.0,1.0
85,eGon2035,4,71395,power_to_H2,0.0,True,inf,1372.6909325666215,0.0,0.7,0.0,0.0,1.0,0.0,601.3916816970994,DE,31.0,False,,,,,,1.0,1.0
86,eGon2035,4,71404,power_to_H2,0.0,True,9.0,1372.6909325666215,0.0,0.7,0.0,0.0,1.0,0.0,8.947460090726986,DE,31.0,False,,,,,,1.0,1.0
87,eGon2035,4,71435,central_heat_pump,19.920351289776033,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,19.920351289776033,DE,inf,False,,,,,,1.0,1.0
88,eGon2035,4,71435,central_resistive_heater,18.0173622641871,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,18.0173622641871,DE,inf,False,,,,,,1.0,1.0
89,eGon2035,4,71444,central_heat_pump,8.944020029465726,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.944020029465726,DE,inf,False,,,,,,1.0,1.0
90,eGon2035,4,71444,central_resistive_heater,8.500875179468084,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.500875179468084,DE,inf,False,,,,,,1.0,1.0
91,eGon2035,4,71448,central_heat_pump,2.3271158762200748,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.3271158762200748,DE,inf,False,,,,,,1.0,1.0
92,eGon2035,4,71448,central_resistive_heater,0.689663000567628,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.689663000567628,DE,inf,False,,,,,,1.0,1.0
93,eGon2035,4,71450,central_heat_pump,3.4510379808634752,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.4510379808634752,DE,inf,False,,,,,,1.0,1.0
94,eGon2035,4,71450,central_resistive_heater,8.359252506271575,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.359252506271575,DE,inf,False,,,,,,1.0,1.0
95,eGon2035,4,41240,dsm,53.091208447488036,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,53.091208447488036,DE,inf,False,,,,,,1.0,1.0
96,eGon2035,4,48653,power_to_H2,0.0,True,inf,1372.6909325666215,0.0,0.7,0.0,0.0,1.0,0.0,2.558283306565532,DE,31.0,False,,,,,,1.0,1.0
97,eGon2035,4,52040,rural_heat_pump,475.83043825329116,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,475.83043825329116,DE,inf,False,,,,,,1.0,1.0
98,eGon2035,4,69914,BEV_charger,837.7247404456139,False,inf,0.0,0.0,0.9,0.0,0.0,1.0,0.0,837.7247404456139,DE,inf,False,,,,,,1.0,1.0
99,eGon2035,4,71389,power_to_H2,0.0,True,6.0,1372.6909325666213,0.0,0.6999999999999998,0.0,0.0,1.0,0.0,5.947377812318099,DE,31.0,False,,,,,,1.0,1.0
100,eGon2035,4,71396,power_to_H2,0.0,True,1.0,1372.6909325666215,0.0,0.7,0.0,0.0,1.0,0.0,0.9957267396497257,DE,31.0,False,,,,,,1.0,1.0
101,eGon2035,4,71410,power_to_H2,0.0,True,4.0,1372.6909325666215,0.0,0.7,0.0,0.0,1.0,0.0,3.977955808462164,DE,31.0,False,,,,,,1.0,1.0
102,eGon2035,4,71548,central_heat_pump,0.1646574233000063,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1646574233000063,DE,inf,False,,,,,,1.0,1.0
103,eGon2035,4,71548,central_resistive_heater,0.19021351735063746,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.19021351735063746,DE,inf,False,,,,,,1.0,1.0
104,eGon2035,4,71562,central_heat_pump,0.513125469666217,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.513125469666217,DE,inf,False,,,,,,1.0,1.0
105,eGon2035,4,71562,central_resistive_heater,0.27656690323612926,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.27656690323612926,DE,inf,False,,,,,,1.0,1.0
106,eGon2035,4,41240,dsm,59.1467509592845,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,59.1467509592845,DE,inf,False,,,,,,1.0,1.0
107,eGon2035,4,48653,power_to_H2,0.0,True,inf,1372.6909325666215,0.0,0.7,0.0,0.0,1.0,0.0,2.558283313508217,DE,31.0,False,,,,,,1.0,1.0
108,eGon2035,4,52040,rural_heat_pump,658.6848485364206,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,658.6848485364206,DE,inf,False,,,,,,1.0,1.0
109,eGon2035,4,69914,BEV_charger,1096.269556760788,False,inf,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1096.269556760788,DE,inf,False,,,,,,1.0,1.0
110,eGon2035,4,71378,power_to_H2,0.0,True,inf,1372.6909325666215,0.0,0.7,0.0,0.0,1.0,0.0,42.32798077511047,DE,31.0,False,,,,,,1.0,1.0
111,eGon2035,4,71397,power_to_H2,0.0,True,1.0,1372.6909325666215,0.0,0.7,0.0,0.0,1.0,0.0,0.9958305607984809,DE,31.0,False,,,,,,1.0,1.0
